,tweet_id,favourites_count,retweet_count
0,892420643555336193,37474,8162
1,892177421306343426,32209,6040
2,891815181378084864,24279,3998
3,891689557279858688,40796,8314
4,891327558926688256,39013,9011
5,891087950875897856,19609,2990
6,890971913173991426,11451,1984
7,890729181411237888,63217,18127
8,890609185150312448,26967,4103
9,890240255349198849,30906,7092
10,890006608113172480,29728,7049
11,889880896479866881,26967,4787
12,889665388333682689,46587,9647
13,889638837579907072,26251,4360
14,889531135344209921,14640,2165
15,889278841981685760,24460,5174
16,888917238123831296,28216,4338
17,888804989199671297,24761,4119
18,888554962724278272,19204,3397
19,888078434458587136,21075,3349
20,887705289381826560,29255,5173
21,887517139158093824,44872,11257
22,887473957103951883,66747,17452
23,887343217045368832,32609,10032
24,887101392804085760,29627,5729
25,886983233522544640,33999,7450
26,886736880519319552,11650,3135
27,886680336477933568,21740,4289
28,886366144734445568,20507,3078
29,886267009285017600,116,4
30,886258384151887873,27113,6069
31,886054160059072513,0,105
32,885984800019947520,31591,6521
33,885528943205470208,34868,6180
34,885518971528720385,19807,3607
35,885311592912609280,0,17837
36,885167619883638784,21237,4218
37,884925521741709313,74931,17543
38,884876753390489601,27027,5404
39,884562892145688576,23527,4506
40,884441805382717440,26180,5458
41,884247878851493888,70652,19760
42,884162670584377345,19738,2872
43,883838122936631299,21193,3314
44,883482846933004288,44503,9539
45,883360690899218434,21984,3572
46,883117836046086144,35989,6412
47,882992080364220416,23180,3775
48,882762694511734784,27399,4719
49,882627270321602560,27068,5867
50,882268110199369728,43513,11172
51,882045870035918850,28406,4763
52,881906580714921986,23558,3276
53,881666595344535552,49043,10289
54,881633300179243008,123,7
55,881536004380872706,47881,15371
56,881268444196462592,22431,5005
57,880935762899988482,16511,2685
58,880872448815771648,20624,3686
59,880465832366813184,27642,6039
60,880221127280381952,26185,4066
61,880095782870896641,26788,4181
62,879862464715927552,21655,3374
63,879674319642796034,302,10
64,879492040517615616,22741,3068
65,879415818425184262,102613,42729
66,879376492567855104,16296,3008
67,879130579576475649,0,6566
68,879050749262655488,21849,4536
69,879008229531029506,18389,2599
70,878776093423087618,18819,3983
71,878604707211726852,29278,6944
72,878404777348136964,0,1241
73,878316110768087041,0,6415
74,878281511006478336,7509,1241
75,878057613040115712,40794,6566
76,877736472329191424,77251,18438
77,877611172832227328,0,78
78,877556246731214848,22047,3671
79,877316821321428993,26582,5025
80,877201837425926144,26324,5404
81,876838120628539392,20081,3225
82,876537666061221889,22866,4488
83,876484053909872640,18223,2309
84,876120275196170240,27126,4516
85,875747767867523072,24453,4149
86,875144289856114688,21317,4772
87,875097192612077568,26615,5862
88,875021211251597312,24746,4570
89,874680097055178752,27027,4500
90,874434818259525634,0,14227
91,874296783580663808,25326,3989
92,874057562936811520,22079,3826
93,874012996292530176,33562,10083
94,873580283840344065,23552,3818
95,873337748698140672,0,1539
96,873213775632977920,7027,1539
97,872967104147763200,26569,5263
98,872820683541237760,14331,3601
99,872620804844003328,20213,3582
100,872486979161796608,39649,8774
101,872122724285648897,33514,7920
102,871879754684805121,36895,10855
103,871762521631449091,19760,3394
104,871515927908634625,19690,3368
105,871166179821445120,0,5553
106,871102520638267392,20416,5384
107,871032628920680449,22147,3727
108,870804317367881728,32828,6049
109,870726314365509632,118,3
110,870656317836468226,12112,2589
111,870374049280663552,80889,25675
112,870308999962521604,21371,4063
113,870063196459192321,35808,8167
114,869772420881756160,41542,9826
115,869702957897576449,27652,6213
116,869596645499047938,15647,3079
117,869227993411051520,20032,3718
118,868880397819494401,64210,14203
119,868639477480148993,0,2052
120,868622495443632128,26205,5208
121,868552278524837888,9921,2052
122,867900495410671616,23758,4110
123,867774946302451713,33352,7236
124,867421006826221569,15826,2456
125,867072653475098625,0,119
126,867051520902168576,31675,7746
127,866720684873056260,19711,4743
128,866686824827068416,18957,3428
129,866450705531457537,120244,34850
130,866334964761202691,51670,14227
131,866094527597207552,0,8264
132,865718153858494464,25240,5557
133,865359393868664832,26072,4954
134,865006731092295680,27584,7601
135,864873206498414592,31816,8629
136,864279568663928832,14405,2999
137,864197398364647424,29695,8847
138,863907417377173506,20349,4090
139,863553081350529029,15125,4148
140,863471782782697472,0,2420
141,863432100342583297,23507,5193
142,863427515083354112,2221,96
143,863079547188785154,8659,1093
144,863062471531167744,8405,2420
145,862831371563274240,18962,5072
146,862722525377298433,16885,3505
